50 | 579.70
822 | -942.72
-535 | -187.24
-568 | -903.21
942 | 857.80
-627 | 551.46
-541 | 379.08
-254 | 683.24
721 | -296.91
997 | -120.90
-858 | 520.73
-537 | 777.07
186 | -903.72
92 | 913.66
-830 | -634.71
387 | -957.94
929 | 237.31
-856 | -184.34
-495 | -184.75
-103 | 407.90
919 | -579.66
-36 | -997.70
-413 | -108.77
-987 | 162.00
948 | 35.85
-365 | -675.10
31 | 301.61
763 | 626.05
803 | -828.44
524 | -429.99
-560 | -78.57
868 | 921.39
-461 | -925.79
-853 | -826.14
474 | 443.78
842 | -400.23
893 | -272.79
-438 | 63.73
-823 | 190.79
-806 | -429.33
-490 | 533.13
-372 | 268.92
-101 | 917.52
-334 | 39.39
457 | -132.59
327 | 4.11
839 | 855.56
943 | 907.00
556 | 59.11
-982 | 601.30
348 | 467.76
387 | -665.19
-974 | 714.01
833 | -45.46
75 | 953.50
231 | -779.36
-637 | 607.20
4 | 838.59
-806 | 197.23
-726 | -171.06
